Time,Displacement 1,Displacement 2,Displacement 3,Displacement 4,Displacement 5,Displacement 6,Displacement 7,Displacement 8,Displacement 9,Displacement 10,Displacement 11,Displacement 12,Displacement 13,Displacement 14,Displacement 15,Displacement 16,Displacement 17,Displacement 18,Displacement 19,Displacement 20,Displacement 21,Displacement 22,Displacement 23,Displacement 24,Displacement 25,Displacement 26,Displacement 27,Displacement 28,Displacement 29,Displacement 30
0,0,0,0,0,0,-1.2722422,-1.788168,-2.943386,-3.397,-3.247458,-1.0217578,-3.46305,-3.424418,-2.724058,-1.6336368,-4.6330275,5.95962,0.703799,4.1121385,6.744715,2.230381,6.308555,0.1409414,2.4702735,-5.82626,-13.51215,-0.741787,12.386855,11.70457,0
0.004992,0,0,0,0,0,-1.26975,-1.786918,-2.948372,-3.393262,-3.252442,-1.0267422,-3.459312,-3.423172,-2.725304,-1.6298984,-4.6486035,5.95339,0.756758,4.0809765,6.71045,2.286465,6.296085,0.13969532,2.4546975,-5.8138,-13.48411,-0.791631,12.374395,11.760645,0
0.009984,0,0,0,0,0,-1.2734882,-1.7856718,-2.945878,-3.394508,-3.251196,-1.0192656,-3.453082,-3.429402,-2.72032,-1.6224218,-4.6205665,5.96585,0.691338,4.0809765,6.732255,2.2366115,6.3584,0.16461718,2.4609275,-5.770175,-13.53085,-0.763594,12.38997,11.70457,0
0.014976,0,0,0,0,0,-1.270996,-1.7844258,-2.949618,-3.394508,-3.251196,-1.0292344,-3.459312,-3.423172,-2.727796,-1.6211758,-4.6454885,5.962735,0.6882225,4.0778615,6.760295,2.242842,6.29297,0.1421875,2.467158,-5.823145,-13.49034,-0.763594,12.349475,11.760645,0
0.019968,0,0,0,0,0,-1.2734882,-1.789414,-2.950864,-3.392016,-3.254934,-1.0279882,-3.454328,-3.43314,-2.725304,-1.6261602,-4.6361425,5.950275,0.694453,4.0809765,6.75718,2.2241505,6.321015,0.14467968,2.4328905,-5.798215,-13.48411,-0.791631,12.40866,11.70457,0
0.02496,0,0,0,0,0,-1.2747344,-1.786918,-2.950864,-3.394508,-3.252442,-1.0304804,-3.45682,-3.430648,-2.725304,-1.6261602,-4.639258,5.962735,0.6975685,4.087207,6.750945,2.233496,6.34282,0.15215626,2.4453515,-5.776405,-13.49657,-0.8009865,12.346355,11.766875,0
0.029952,0,0,0,0,0,-1.2734882,-1.786918,-2.949618,-3.393262,-3.254934,-1.02425,-3.458066,-3.431894,-2.722812,-1.6298984,-4.6361425,5.950275,0.7287205,4.0903225,6.69799,2.261533,6.33659,0.16710938,2.476504,-5.782635,-13.527735,-0.754248,12.399315,11.701455,0
0.034944,0,0,0,0,0,-1.268504,-1.7819336,-2.945878,-3.389524,-3.251196,-1.02425,-3.458066,-3.42691,-2.729042,-1.6311446,-4.642373,5.968965,0.7380665,4.0560545,6.766525,2.233496,6.321015,0.14717188,2.439121,-5.76706,-13.502805,-0.7854005,12.40243,11.707685,0
0.039936,0,0,0,0,0,-1.2722422,-1.7819336,-2.948372,-3.392016,-3.248704,-1.0267422,-3.450586,-3.428156,-2.725304,-1.6286524,-4.629912,5.95962,0.6975685,4.084092,6.744715,2.2366115,6.355285,0.15838672,2.4422365,-5.770175,-13.49969,-0.8041015,12.374395,11.75753,0
0.044928,0,0,0,0,0,-1.2722422,-1.7844258,-2.947126,-3.394508,-3.251196,-1.02425,-3.453082,-3.424418,-2.727796,-1.6224218,-4.6454885,5.962735,0.734951,4.0560545,6.76964,2.2490725,6.2992,0.14467968,2.439121,-5.7951,-13.474765,-0.791631,12.355705,11.76376,0
0.04992,0,0,0,0,0,-1.2747344,-1.7806876,-2.949618,-3.397,-3.252442,-1.023004,-3.46679,-3.425664,-2.725304,-1.6311446,-4.642373,5.950275,0.7661035,4.074746,6.71668,2.286465,6.296085,0.15714062,2.4858495,-5.823145,-13.487225,-0.766709,12.35259,11.760645,0
0.054912,0,0,0,0,0,-1.2759804,-1.7831796,-2.950864,-3.394508,-3.248704,-1.0267422,-3.45682,-3.429402,-2.725304,-1.6211758,-4.6330275,5.950275,0.6975685,4.0809765,6.760295,2.2272655,6.308555,0.14592578,2.4422365,-5.8138,-13.47165,-0.791631,12.37128,11.760645,0
0.059904,0,0,0,0,0,-1.270996,-1.7856718,-2.95211,-3.393262,-3.253688,-1.0304804,-3.454328,-3.430648,-2.727796,-1.623668,-4.639258,5.962735,0.7100295,4.062285,6.75718,2.2241505,6.33036,0.14841796,2.439121,-5.776405,-13.49657,-0.794746,12.40243,11.748185,0
0.064896,0,0,0,0,0,-1.2722422,-1.7806876,-2.949618,-3.395754,-3.247458,-1.0317266,-3.459312,-3.428156,-2.72655,-1.6274062,-4.6361425,5.96585,0.7131445,4.0529395,6.76341,2.2553025,6.2992,0.1434336,2.451582,-5.80756,-13.474765,-0.797871,12.386855,11.74507,0
0.069888,0,0,0,0,0,-1.2722422,-1.7781954,-2.949618,-3.395754,-3.244964,-1.0267422,-3.461804,-3.429402,-2.727796,-1.6311446,-4.6454885,5.95962,0.7380665,4.0560545,6.744715,2.277119,6.296085,0.15091016,2.4702735,-5.8138,-13.480995,-0.769824,12.35259,11.766875,0
0.07488,0,0,0,0,0,-1.2734882,-1.789414,-2.949618,-3.397,-3.247458,-1.02425,-3.460558,-3.421926,-2.725304,-1.6298984,-4.642373,5.96585,0.759873,4.0778615,6.71045,2.28958,6.3179,0.16586328,2.4951955,-5.804445,-13.51838,-0.738672,12.346355,11.72326,0
0.079872,0,0,0,0,0,-1.2734882,-1.7906602,-2.95211,-3.397,-3.252442,-1.0217578,-3.46305,-3.423172,-2.721566,-1.6298984,-4.654834,5.96585,0.7629885,4.043594,6.7416,2.2677735,6.302315,0.1434336,2.467158,-5.816915,-13.49034,-0.7604785,12.349475,11.75753,0
0.084864,0,0,0,0,0,-1.2809648,-1.786918,-2.957094,-3.397,-3.24995,-1.02425,-3.461804,-3.423172,-2.724058,-1.6274062,-4.639258,5.93157,0.7629885,4.0778615,6.719795,2.277119,6.308555,0.16461718,2.49208,-5.80133,-13.52461,-0.7449025,12.37128,11.713915,0
0.089856,0,0,0,0,0,-1.2734882,-1.7968906,-2.95834,-3.397,-3.254934,-1.0217578,-3.458066,-3.431894,-2.72032,-1.6274062,-4.629912,5.94716,0.691338,4.087207,6.7416,2.233496,6.35217,0.16586328,2.467158,-5.78575,-13.527735,-0.738672,12.355705,11.71703,0
0.094848,0,0,0,0,0,-1.2784726,-1.7931524,-2.959586,-3.398246,-3.251196,-1.023004,-3.464296,-3.429402,-2.724058,-1.6311446,-4.642373,5.944045,0.7411815,4.0809765,6.71045,2.286465,6.314785,0.1633711,2.4858495,-5.82003,-13.49657,-0.738672,12.34324,11.73884,0
0.09984,0,0,0,0,0,-1.2722422,-1.8056132,-2.959586,-3.389524,-3.251196,-1.025496,-3.459312,-3.43314,-2.724058,-1.6274062,-4.629912,5.950275,0.694453,4.105908,6.73537,2.230381,6.349055,0.15589454,2.436006,-5.76706,-13.54331,-0.7355565,12.368165,11.72326,0
0.104832,0,0,0,0,0,-1.2734882,-1.8093516,-2.959586,-3.389524,-3.251196,-1.0279882,-3.455574,-3.428156,-2.722812,-1.6261602,-4.6236815,5.962735,0.6882225,4.0934375,6.744715,2.230381,6.34282,0.15091016,2.4422365,-5.76706,-13.509035,-0.7854005,12.40243,11.73884,0
0.109824,0,0,0,0,0,-1.2772266,-1.8193204,-2.962078,-3.39077,-3.251196,-1.02425,-3.453082,-3.430648,-2.724058,-1.6323906,-4.629912,5.95339,0.7287205,4.102793,6.713565,2.2677735,6.339705,0.16710938,2.49208,-5.798215,-13.527735,-0.7480175,12.386855,11.707685,0
0.114816,0,0,0,0,0,-1.2784726,-1.8205664,-2.968312,-3.393262,-3.252442,-1.02425,-3.455574,-3.431894,-2.722812,-1.624914,-4.6330275,5.962735,0.694453,4.0809765,6.76341,2.221035,6.32413,0.14717188,2.436006,-5.7951,-13.49034,-0.8009865,12.386855,11.741955,0
0.119808,0,0,0,0,0,-1.283457,-1.8243046,-2.968312,-3.394508,-3.251196,-1.0267422,-3.454328,-3.430648,-2.724058,-1.6211758,-4.6361425,5.94716,0.691338,4.115254,6.732255,2.242842,6.3584,0.15589454,2.4422365,-5.798215,-13.480995,-0.794746,12.37128,11.754415,0
0.1248,0,0,0,0,0,-1.282211,-1.829289,-2.970804,-3.394508,-3.252442,-1.0279882,-3.45682,-3.425664,-2.73029,-1.6261602,-4.642373,5.96585,0.734951,4.05917,6.76964,2.261533,6.30544,0.1409414,2.4609275,-5.816915,-13.47788,-0.782285,12.35882,11.760645,0
0.129792,0,0,0,0,0,-1.2797188,-1.828043,-2.968312,-3.395754,-3.248704,-1.0279882,-3.464296,-3.425664,-2.72655,-1.6323906,-4.6454885,5.95962,0.756758,4.0685155,6.738485,2.2802345,6.302315,0.14467968,2.464043,-5.82003,-13.468535,-0.77917,12.35259,11.766875,0
0.134784,0,0,0,0,0,-1.2884414,-1.8267968,-2.969558,-3.39077,-3.247458,-1.025496,-3.460558,-3.425664,-2.727796,-1.6298984,-4.6454885,5.962735,0.756758,4.05917,6.766525,2.261533,6.296085,0.1421875,2.4578125,-5.8138,-13.47788,-0.77917,12.355705,11.76376,0
0.139776,0,0,0,0,0,-1.2946718,-1.8330274,-2.968312,-3.394508,-3.24621,-1.023004,-3.459312,-3.421926,-2.727796,-1.6311446,-4.639258,5.96585,0.72249,4.05917,6.766525,2.2553025,6.296085,0.14467968,2.4733885,-5.823145,-13.509035,-0.7449025,12.36505,11.713915,0
0.144768,0,0,0,0,0,-1.298414,-1.8367696,-2.977036,-3.394508,-3.24995,-1.025496,-3.455574,-3.424418,-2.724058,-1.6311446,-4.642373,5.968965,0.7629885,4.049824,6.754065,2.2553025,6.296085,0.14467968,2.439121,-5.8138,-13.47788,-0.77917,12.35259,11.76376,0
